Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
86	-34236.836	42114.676	31760.932	-117154.22	800.0	-773.5873	0.0019932117	-773.53516	-773.58777	696000	7.927418e-09	84209990.0	-0.02410812	-1395296.0	2.184106	0.017455526	0.202875	13.0	859.4383223056793
87	-30887.916	43240.723	10105.735	-128061.15	800.0	-615.63135	436.40875	769.4137	-781.1101	704000	-5.3197144e-08	78011260.0	-0.021541249	-694008.0	2.1805997	0.014803261	0.168125	13.0	867.5967330932617
88	-30103.7	38736.293	26885.604	-124522.65	800.0	-580.15784	488.67963	776.59326	-788.3889	712000	2.015382e-08	79030840.0	-0.005988342	-1249072.0	2.1900938	0.007787216	0.10525	2.0	875.391420841217
89	-11732.317	39789.668	32382.443	-102172.43	800.0	-591.8557	481.72275	783.65643	-795.55475	720000	3.2633544e-08	72549896.0	-0.02276164	-2156200.0	2.1720865	0.015360201	0.174	12.0	883.6161353588104
90	-59877.22	63831.91	15662.239	-203442.42	800.0	-239.22836	682.89417	789.71765	-801.66675	728000	-1.4737249e-08	179078510.0	-0.02078264	-5407360.0	2.1790159	0.014555971	0.165	12.0	891.9283413887024
91	-61619.074	43364.477	-9078.389	-135698.62	800.0	-599.48175	513.57635	802.5421	-814.68994	736000	9.246171e-09	170574060.0	-0.051732726	-1349456.0	2.1961997	0.014224255	0.281125	79.0	902.0348362922668
92	-32338.668	53065.81	9196.016	-188331.44	800.0	-730.9727	349.87622	817.4876	-829.86176	744000	-3.0174853e-08	109095250.0	-0.044799514	-526888.0	2.189339	0.015029642	0.248625	66.0	911.7066388130188
93	-57134.242	64739.715	16985.818	-187454.89	800.0	-666.37573	472.1148	826.161	-838.65643	752000	-6.8843367e-09	174892580.0	-0.050276108	-1144224.0	2.1692278	0.013028144	0.25875	79.0	921.7947428226471
94	-49839.15	60136.926	28717.363	-163494.4	800.0	-655.7201	494.2349	838.101	-850.7809	760000	-1.5765428e-08	146259300.0	-0.053710017	-1088400.0	2.1789818	0.013945009	0.278	79.0	931.91561460495
95	-28480.672	55363.18	20556.031	-163557.45	800.0	-670.6207	493.0084	849.9371	-862.78723	768000	6.2465666e-08	105496460.0	-0.028602999	-1299104.0	2.1410394	0.014993688	0.1715	16.0	940.2718176841736
96	-14464.339	26620.963	29241.021	-39692.867	800.0	-370.1195	743.74243	857.7621	-870.71277	776000	-1.3545155e-08	74455830.0	-0.027133698	-1051960.0	2.1384685	0.014903402	0.195125	18.0	948.6973490715027
97	-31013.309	41888.883	28244.26	-125354.055	800.0	-591.97314	588.6506	863.25543	-876.2625	784000	1.3872981e-08	107346660.0	-0.028708981	-737280.0	2.1010764	0.014992815	0.200625	22.0	956.9170713424683
98	-40646.336	40814.86	-3305.5193	-113127.766	800.0	-650.26715	550.9874	870.4992	-883.61096	792000	2.1070242e-08	110720136.0	-0.049176488	-798440.0	2.108589	0.013518082	0.27025	79.0	966.9476616382599
99	-32220.59	45344.35	19468.916	-141720.56	800.0	-665.47925	546.67975	880.0174	-893.27124	800000	-5.5134297e-08	102125790.0	-0.04548659	-1683144.0	2.1070855	0.014554764	0.2435	59.0	976.3336431980133
100	-1939.4226	32424.514	49301.242	-69747.22	800.0	-588.3603	633.543	888.3858	-901.75433	808000	-1.2025237e-08	57050530.0	-0.007835661	-1764732.0	2.0685434	0.008290177	0.10225	2.0	984.4581031799316
101	-17213.75	51198.17	32876.957	-149467.5	800.0	-292.3795	798.4208	893.98376	-907.3685	816000	-3.3974648e-09	94248330.0	-0.025133474	-1353472.0	2.055028	0.0139130205	0.18175	16.0	992.8556606769562
102	-23648.791	32027.4	20923.658	-82611.8	800.0	-294.63406	791.0941	900.483	-913.9262	824000	2.2679567e-08	65032970.0	-0.041086465	-3443232.0	2.0715365	0.014752954	0.211375	47.0	1002.0777118206024
103	-22815.828	38951.406	25985.086	-87017.57	800.0	-691.665	553.1642	906.6207	-920.152	832000	-5.595386e-09	73908250.0	-0.02549536	-1250320.0	2.0938575	0.015014909	0.1945	15.0	1010.2446122169495
104	-21318.506	47245.113	30339.84	-118307.055	800.0	-649.6324	619.8751	912.62213	-926.24023	840000	8.5681675e-09	95964390.0	-0.02483557	-1128192.0	2.075386	0.013428823	0.20125	14.0	1018.2881100177765
105	-22434.113	58712.188	42201.832	-155414.5	800.0	-555.312	707.31586	920.3647	-934.07495	848000	4.6133994e-08	102022904.0	-0.019625917	-969144.0	2.0680892	0.015018401	0.166625	11.0	1026.2599499225616
106	-62548.008	62733.516	12658.562	-183796.84	800.0	-715.75085	572.88403	928.1864	-941.99725	856000	-2.9027461e-08	196452800.0	-0.05013376	-652592.0	2.0591054	0.0145717105	0.264	79.0	1036.4362306594849
107	-40026.85	41129.79	25259.652	-111868.61	800.0	-606.4121	700.68085	944.33167	-958.4022	864000	1.9967556e-08	110856420.0	-0.047604524	-1678160.0	2.0534267	0.013911127	0.255	63.0	1045.894611120224
108	-22998.27	43532.336	21360.812	-108898.82	800.0	-683.76215	632.99207	955.97076	-970.21954	872000	-1.5377998e-08	80533660.0	-0.04302561	-1189528.0	1.9911302	0.014653558	0.247	53.0	1055.1718084812164
109	-8107.7344	31359.193	30607.316	-79269.63	800.0	-554.039	749.8914	963.2583	-977.6022	880000	-5.0053e-08	56638236.0	-0.04777246	-1164496.0	1.9444876	0.012855527	0.25525	79.0	1065.3303353786469
110	-32445.63	44646.797	24112.482	-116535.98	800.0	-452.33966	812.9197	968.22253	-982.5995	888000	-2.6136636e-08	101728820.0	-0.024408285	-2126824.0	1.9016675	0.015267961	0.184125	16.0	1073.9125759601593
111	-18498.047	21655.354	4913.3457	-58539.65	800.0	-555.4428	765.281	977.556	-992.0686	896000	-8.881092e-09	56350610.0	-0.027622636	-1112052.0	1.8718113	0.014221007	0.20675	18.0	1082.4038870334625
112	-32281.129	20043.129	4075.7275	-58472.527	800.0	-507.3703	794.4016	984.0691	-998.6686	904000	1.1920929e-08	66078296.0	-0.035607647	-1155232.0	1.8791893	0.015586465	0.19525	26.0	1091.1649219989777
113	-29307.426	70426.28	47514.215	-201475.83	800.0	-741.44775	626.82434	992.72955	-1007.46246	912000	-3.144145e-08	141371280.0	-0.044343222	-2243888.0	1.8327823	0.014891159	0.23275	41.0	1100.0300266742706
114	-9461.542	21190.338	17991.215	-48870.81	800.0	-173.9907	936.4049	1004.0579	-1018.9346	920000	1.0415912e-08	41911950.0	-0.038573947	-3016952.0	1.8156463	0.014475516	0.22025	35.0	1108.9769833087921
115	-62713.05	57522.09	9192.38	-201497.08	800.0	-181.046	919.0095	1009.1668	-1024.0901	928000	4.261732e-08	166686160.0	-0.025542805	-10719552.0	1.8116794	0.014342959	0.187	15.0	1117.1986088752747
116	-49609.133	64628.105	41089.16	-202502.39	800.0	-838.30615	544.8424	1022.70306	-1037.8794	936000	-2.796948e-08	172037100.0	-0.046043105	-1530976.0	1.8156003	0.009199551	0.25975	79.0	1127.4267797470093
117	-38194.547	54780.574	43209.188	-123342.37	800.0	-782.54865	645.3399	1036.3198	-1051.7184	944000	9.536744e-10	119826960.0	-0.04410338	-1605424.0	1.7812316	0.014682247	0.234375	45.0	1136.4843895435333
