Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
66	-128751.56	87915.37	-36058.98	-294230.03	800.0	-625.2096	0.00011050145	-625.2087	-625.2097	536000	1.4454127e-08	546759400.0	-0.0481744	-323968.0	3.3828573	0.010852123	0.2555	79.0	577.3880507946014
67	-106785.73	69507.29	-28685.895	-222095.44	800.0	-636.15137	0.00015032037	-636.149	-636.1515	544000	6.236881e-08	358112300.0	-0.046610445	-210752.0	3.3570027	0.0112533	0.2395	79.0	586.2395670413971
68	-90829.3	70877.914	21213.69	-201898.56	800.0	-644.9814	0.00014647961	-644.9797	-644.9813	552000	-1.9997358e-08	298868600.0	-0.006757402	-155360.0	3.3509486	0.008854626	0.112	2.0	592.8482632637024
69	-74636.6	51853.395	235.11201	-175984.17	800.0	-652.58875	0.00014340015	-652.58765	-652.58875	560000	-2.2143125e-08	167231840.0	-0.020576656	-97008.0	3.341289	0.013654766	0.16925	12.0	599.8263936042786
70	-141660.72	105274.68	-19424.018	-393598.34	800.0	-658.7109	0.00013060133	-658.7101	-658.7111	568000	2.861023e-09	682010500.0	-0.048393346	-372928.0	3.3435075	0.0119416	0.237375	79.0	609.1930062770844
71	-93407.836	54184.062	-37954.816	-201360.69	800.0	-670.20447	0.00014521687	-670.20264	-670.2046	576000	-1.7553567e-08	325044450.0	-0.044533458	-179488.0	3.308938	0.012045519	0.236875	79.0	618.0998084545135
72	-107725.6	90750.05	-21387.807	-269482.34	800.0	-678.6625	0.00018001361	-678.6597	-678.66266	584000	-2.2783876e-08	435034850.0	-0.045392886	-223808.0	3.3565469	0.0072136754	0.234125	79.0	626.9432754516602
73	-183688.88	116470.99	-24812.38	-394467.16	800.0	-687.8281	0.00012284983	-687.82654	-687.8282	592000	4.4979156e-08	967587100.0	-0.049455184	-649088.0	3.3400831	0.009650961	0.24775	79.0	635.8258819580078
74	-67442.984	53722.504	-1289.8066	-165430.94	800.0	-702.968	0.0001446353	-702.96594	-702.9683	600000	-1.4320016e-08	197365780.0	-0.025321815	-90448.0	3.330834	0.014534532	0.19325	17.0	642.9625713825226
75	-108363.8	78262.984	-14510.964	-282539.78	800.0	-709.34735	8.943265e-05	-709.3465	-709.3474	608000	-7.718802e-09	463640400.0	-0.046485446	-203808.0	3.3321157	0.010766151	0.266875	79.0	651.9121675491333
76	-79510.8	84366.43	20367.277	-225679.92	800.0	-717.8828	0.00012927536	-717.8808	-717.883	616000	-4.8331916e-08	282750850.0	-0.048122205	-121856.0	3.312151	0.009877767	0.252375	79.0	660.7900826931
77	-77508.7	31613.594	-18136.463	-108959.47	800.0	-724.8303	9.918213e-05	-724.8288	-724.83044	624000	1.9878149e-08	183608830.0	-0.048324972	-102832.0	3.306994	0.008177253	0.259125	79.0	669.5722320079803
78	-84366.08	81075.35	3305.0276	-303180.12	800.0	-731.191	8.080534e-05	-731.1903	-731.191	632000	1.0713935e-08	412443100.0	-0.04528495	-139552.0	3.2851954	0.009900338	0.2395	79.0	678.3155205249786
79	-89705.42	55300.79	-5553.401	-214259.69	800.0	-738.5899	8.292699e-05	-738.5888	-738.59	640000	-5.1662326e-08	320226240.0	-0.04584988	-151328.0	3.3210833	0.011856168	0.25	79.0	687.4441630840302
80	-121157.836	68942.0	-34588.79	-245073.86	800.0	-746.419	0.00013704058	-746.4177	-746.4192	648000	-1.078844e-08	501289000.0	-0.031332087	-291648.0	3.3183622	0.015706478	0.214875	22.0	695.0286197662354
81	-115700.77	148973.77	-4351.112	-517968.3	800.0	-757.1524	0.00011065936	-757.15125	-757.1525	656000	2.5883317e-08	776627600.0	-0.0499975	-281728.0	3.3345392	0.0074052373	0.26625	79.0	704.1780200004578
82	-91240.94	58531.645	-726.3606	-187786.27	800.0	-767.869	0.0001513361	-767.86804	-767.86896	664000	-1.2516975e-08	266876750.0	-0.04873599	-171184.0	3.3369331	0.009243322	0.264375	79.0	713.1447732448578
83	-97498.67	62911.727	-4251.23	-224018.69	800.0	-776.3761	0.00015497403	-776.3756	-776.37634	672000	3.681332e-08	301669470.0	-0.045362156	-192064.0	3.2804692	0.011654506	0.25	79.0	721.9881782531738
84	-133642.14	146903.67	-48478.26	-555113.4	800.0	-785.256	0.00013978084	-785.25574	-785.2562	680000	5.939603e-08	674383550.0	-0.049346883	-356416.0	3.3033834	0.011845796	0.25325	79.0	731.176022529602
